concept_a,concept_b,Course_Code,course_name,source_syllabus,embedding_similarity,order_delta,domain_match,keyword_overlap,label,flag_reason,all_flag_reasons
Work (PoW) consensus algorithm,Q3: Briefly explain Paxos and Raft consensus mechanisms,2166126,Blockchain,SEM-V.pdf,0.4446,10,1,0.0909,0,admin_rubric_noise,admin_rubric_noise
with a suitable example for each,Smart City (Parking or Waste Management),2166121,Internet of Things,SEM-V.pdf,0.1164,6,1,0.0,0,truncated_fragment,truncated_fragment
Rank correlation coefficient (R) (with repeated and non,"theorem, Skewness and Kurtosis of distribution (data)",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0095,9,1,0.0714,0,truncated_fragment,truncated_fragment; subject_mismatch
fibonacci series,Students must be able to learn to query it and,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0096,12,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment; lab_or_project_course
Learning Techniques,Self-Learning : Support Vector Regression and,2166111,Machine,SEM-V.pdf,0.5141,1,1,0.1429,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Fourier series of even and odd functions (simple functions,learning Topics: Complex form of Fourier Series,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3918,3,1,0.25,0,truncated_fragment,truncated_fragment
"Engineering: Applying the Theory of Constraints for Business Results‖, Prentice Hall, 2003",will be compulsory and should cover maximum contents of the syllabus,2165113,Agile Software,SEM-V.pdf,0.2449,13,1,0.0952,0,publisher_citation,publisher_citation; admin_rubric_noise
Study – Selenium/ Jira,"Agility, DevOps and Continuous Testing",2165113,Agile Software,SEM-V.pdf,0.1944,7,1,0.0,0,tool_fragment,tool_fragment
(1)Question 1 is compulsory,"modules. For example, if Q.2 has part (a) from Module 3 then part",2165113,Agile Software,SEM-V.pdf,0.231,4,1,0.0,0,admin_rubric_noise,admin_rubric_noise
Concurrency and,through Dart,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1692,1,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Implement solution for a 0-1 knapsack problem using,Implement Hamiltonian cycles,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1117,9,1,0.0909,0,lab_or_project_course,lab_or_project_course
Axios for API calls,application. Properties,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0612,8,1,0.0,0,lab_or_project_course,lab_or_project_course
Laundering & Risk Scoring LLMs in Smart,"Depth: Learn, Build and Deploy Blockchain",2166118,Blockchain,SEM-V.pdf,0.1458,14,1,0.0,0,person_name,person_name; truncated_fragment
Checksum (Simple Problems),Scheduled Access (Reservation,2344113,Computer Network,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0803,8,1,0.0,0,truncated_fragment,truncated_fragment
"empty list to the empty list, whereas tail gives an",(b) guarded equations,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0483,3,1,0.0,0,lab_or_project_course,lab_or_project_course
"OOP for structuring code (User, Bot, ChatSession)",Project Report,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.073,14,1,0.0,0,person_name,person_name; lab_or_project_course
Anomaly detection techniques,Outlier detection using density-based methods for real time,2166120,Visualization Lab,SEM-V.pdf,0.6479,3,1,0.0909,1,lab_or_project_course,lab_or_project_course
First Edition. BPB Publication,Packet analysis with Wire shark,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0524,1,1,0.0,0,publisher_citation,publisher_citation
Full Stack Developer Roles & Skills,Introduction to OOP- Basic of,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1671,12,1,0.0,0,truncated_fragment,truncated_fragment; lab_or_project_course
Starter dependencies,Spring Initializr,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3374,2,1,0.0,1,lab_or_project_course,lab_or_project_course
Q3: Differentiate between a blockchain and a traditional database,"Q3: What is a 51% attack, and how can it affect blockchain security?",2166126,Blockchain,SEM-V.pdf,0.2462,5,1,0.2353,0,admin_rubric_noise,admin_rubric_noise
"Second shall be for the implementation, testing and validation of solution",Project shall be assessed based on following criteria,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4711,3,1,0.1176,1,lab_or_project_course,lab_or_project_course
Dr. Ritu Bhargava,Dr. Abhishek Kumar,2344115,Network Design,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5655,1,1,0.2,1,publisher_citation,publisher_citation; person_name
At least Two Programs to understand Exception,"library functions, list and tuples in Haskell",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1198,7,1,0.0,0,lab_or_project_course,lab_or_project_course
"standard deviation, moment generating function up to","learning topics: Total probability theorem, Bayes’",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0482,2,1,0.0,0,truncated_fragment,truncated_fragment; publisher_citation
Term Work,Review/progress monitoring committee may consider following points for assessment based of the semester,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.1754,10,1,0.0,0,person_name,person_name; admin_rubric_noise; lab_or_project_course
Bootstrap Introduction & Components: Get started with Bootstrap,Axios for API calls,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0001,4,1,0.0,0,lab_or_project_course,lab_or_project_course
Event listeners for button presses,"Mini- Project with full prototype/ product demo, testing, validation and Report) + 5 Marks (Attendance)",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0148,9,1,0.0,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment; subject_mismatch; lab_or_project_course
repeated and non-repeated ranks),degree and exponential curve,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.1006,3,1,0.1429,0,person_name,person_name; truncated_fragment
a. GUI Calculator (Python Tkinter / Java Swing),Project Report,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0241,8,1,0.0,0,person_name,person_name; lab_or_project_course
distinct numbers using backtracking,Implement Travelling salesman problem,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2371,7,1,0.0,0,lab_or_project_course,lab_or_project_course
Implement Naïve string matching algorithm,Implement KMP algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2566,2,1,0.3333,1,lab_or_project_course,lab_or_project_course
repeated and non-repeated ranks),distribution (data),2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0868,8,1,0.0,0,person_name,person_name; truncated_fragment
Functional Programming,No side effects in logic layer,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0474,8,1,0.0,0,subject_mismatch,subject_mismatch; lab_or_project_course
Parseval’s Identity (without proof) Fourier series of periodic,Fourier series of even and odd functions (simple functions,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.63,2,1,0.2143,1,publisher_citation,publisher_citation; truncated_fragment
Operating Systems,functions: Cloud Operating System,2014113,Operating,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.6524,5,1,0.2,1,generic_lone_term,generic_lone_term
Riemann equations in,"polar coordinates, conformal mapping, linear, bilinear",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3274,1,1,0.0,1,truncated_fragment,truncated_fragment; subject_mismatch
differential equation),"inverse Laplace transform. (with s4 in denominator), Inverse",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2475,2,1,0.0,1,truncated_fragment,truncated_fragment
Self- learning Topics: Explore Advance Regression,Outlier Detection using Distance based method,2166120,Visualization Lab,SEM-V.pdf,0.0767,8,1,0.0,0,lab_or_project_course,lab_or_project_course
"Contract Lifecycle (Dev, Audit, Test, Docs)",learning Topics: Case Studies on AI in,2166118,Blockchain,SEM-V.pdf,0.002,1,1,0.0,0,person_name,person_name; truncated_fragment
R for data analytics,modelling Creating new features from existing data,2166120,Visualization Lab,SEM-V.pdf,0.1431,8,1,0.1,0,lab_or_project_course,lab_or_project_course
Self-learning Topics: Modes of Operation for,Self-learning Topics: Lifecycle of a Cyberattack,2166114,Security,SEM-V.pdf,0.6742,4,1,0.4,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Components of Full Stack: Frontend,Full Stack Developer Roles & Skills,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4389,1,1,0.25,1,lab_or_project_course,lab_or_project_course
Work (PoW) consensus algorithm,Q3: Explain the working of an Ethereum transaction from sender to miner validation,2166126,Blockchain,SEM-V.pdf,0.266,6,1,0.0,1,admin_rubric_noise,admin_rubric_noise
"wallets, Cryptocurrency usage, Transactions in","Mitigating attacks: 51% attack, Sybil attack, replay",2166118,Blockchain,SEM-V.pdf,0.184,3,1,0.0,0,truncated_fragment,truncated_fragment
Linear and Non-Linear Programming Problems,NLPP with one and two equality constraint (two or,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.3582,7,1,0.0833,0,truncated_fragment,truncated_fragment
University of Mumbai,Review/progress monitoring committee may consider following points for assessment based of the semester,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2508,12,1,0.0625,0,lab_or_project_course,lab_or_project_course
on Binary Search Tree and analyze space and time,Implementation of operations on B/B+-trees,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5113,1,1,0.0769,1,truncated_fragment,truncated_fragment; lab_or_project_course
Online References,IA will consist of Two Compulsory Internal Assessment Tests. Each test will be,2165113,Agile Software,SEM-V.pdf,0.029,4,1,0.0,0,person_name,person_name; admin_rubric_noise
experience of more than five years approved by head of Institution,a. Weather Data Analyzer (Haskell / Python with functools),2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0206,14,1,0.0,0,publisher_citation,publisher_citation; subject_mismatch; lab_or_project_course
Letter Grade Result,A (Very Good),2166126,Blockchain,SEM-V.pdf,0.2553,1,1,0.0,1,admin_rubric_noise,admin_rubric_noise
repeated ranks) Lines of regression Fitting of first- and,"standard deviation, moment generating function up to",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0642,5,1,0.0,0,truncated_fragment,truncated_fragment
and digital tokens,"Cryptocurrency basics, types, usage, ERC20 and",2166118,Blockchain,SEM-V.pdf,0.3675,1,1,0.125,1,truncated_fragment,truncated_fragment
f(z) when real (u)or imaginary part (v) is given,"polar coordinates, conformal mapping, linear, bilinear",2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2626,4,1,0.0,0,subject_mismatch,subject_mismatch
Based Interface via any board,Python program for communication between clients based on,2166121,Internet of Things,SEM-V.pdf,0.25,2,1,0.0833,1,truncated_fragment,truncated_fragment
Controllers and Services- Role of Controller in MVC,Creating Service classes and injecting them,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.391,4,1,0.0769,0,lab_or_project_course,lab_or_project_course
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”",Reference Books,2165113,Agile Software,SEM-V.pdf,0.2665,5,1,0.0,1,publisher_citation,publisher_citation; person_name
find space and time complexity,on Binary Search Tree and analyze space and time,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.5992,9,1,0.3,0,truncated_fragment,truncated_fragment; lab_or_project_course
dynamic programming,Implement Floyd Warshall Algorithm,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.238,12,1,0.0,0,lab_or_project_course,lab_or_project_course
C’s of DevOps Lifecycle for Business,"learning Topics: CI/CD pipelines, cloud",2165113,Agile Software,SEM-V.pdf,0.3948,6,1,0.0,0,publisher_citation,publisher_citation
Multi-tier architecture,Data management,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2856,2,1,0.0,1,lab_or_project_course,lab_or_project_course
"smart contracts, AI in Crypto Trading, Anti",Laundering & Risk Scoring LLMs in Smart,2166118,Blockchain,SEM-V.pdf,0.3022,1,1,0.1818,1,person_name,person_name; truncated_fragment
Parseval’s Identity (without proof) Fourier series of periodic,Hal Frange Sine and Cosine Series,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3657,4,1,0.0714,0,publisher_citation,publisher_citation; truncated_fragment
Causes of Outliers,Outlier Detection using Distance based method,2166120,Visualization Lab,SEM-V.pdf,0.5359,3,1,0.0,1,subject_mismatch,subject_mismatch; lab_or_project_course
b. Online Food Ordering System (Console,"Classes: Customer, MenuItem, Order, Restaurant",2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4635,1,1,0.0,1,truncated_fragment,truncated_fragment; person_name; lab_or_project_course
and permissions,Self-learning Topics: Various Network Performance,2166124,Edge Computing,SEM-V.pdf,0.1081,2,1,0.0,0,person_name,person_name; truncated_fragment; admin_rubric_noise
"Robert C. Martin, “Agile Software Development, Principles, Patterns and Practices”","David J. Anderson and Eli Schragenheim, ―Agile Management for Software",2165113,Agile Software,SEM-V.pdf,0.6058,6,1,0.1765,1,publisher_citation,publisher_citation
prolog.org/example/examples.swinb,Preferably in C++ to demonstrate concepts like,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3323,12,1,0.0,0,lab_or_project_course,lab_or_project_course
Database: MySQL,applications of full stack,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.0978,3,1,0.0,0,lab_or_project_course,lab_or_project_course
Q2: Compare two blockchain platforms of your choice in terms of features and,Q3: Briefly explain Paxos and Raft consensus mechanisms,2166126,Blockchain,SEM-V.pdf,0.1529,9,1,0.0526,0,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Apps (PWAs),React DevTools,2165114,Web and,SEM-V.pdf,0.0445,2,1,0.0,0,generic_lone_term,generic_lone_term; tool_fragment
Self-learning Topics: Ontologies and Semantic Web,Self-learning Topics: Adaptive fuzzy systems and,2165112,Artificial,SEM-V.pdf,0.6461,1,1,0.4,1,admin_rubric_noise,admin_rubric_noise; truncated_fragment
Construct Binary Search Tree for given sequence of,on Binary Search Tree and analyze space and time,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.6298,6,1,0.2308,1,truncated_fragment,truncated_fragment; lab_or_project_course
and properties (without proof),Standard and Canonical of LPP,2013111,Mathematics for,6.20N-B.E.-AI-DS.-Sem-III-IV.pdf,0.0815,9,1,0.125,0,person_name,person_name; truncated_fragment; subject_mismatch
"standard deviation, moment generating function up to",two moments,2343111,Applied,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.422,1,1,0.0,1,truncated_fragment,truncated_fragment
Haskell code to represent infinite list e.g,using Haskell,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.7075,5,1,0.1111,1,truncated_fragment,truncated_fragment; subject_mismatch; lab_or_project_course
Backtracking and Maximum flow Networks,Implement Travelling salesman problem,2343115,ADSA Lab,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.3187,10,1,0.0,0,lab_or_project_course,lab_or_project_course
Full functioning of working model as per stated requirements,List of Sample Capstone Mini,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,-0.0459,10,1,0.0769,0,lab_or_project_course,lab_or_project_course
Oriented Programming (OOP),a. Library Management System,2344411,Mini-Project -,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.2409,1,1,0.0,1,lab_or_project_course,lab_or_project_course
Service layer responsibilities,Creating Service classes and injecting them,2343611,Mini-Project - Full,6.34-N-B.E.-Information-Technology-Sem-III-IV.pdf,0.4798,1,1,0.125,1,lab_or_project_course,lab_or_project_course
